2010/09/24,ETom,AnyConnect for WM  TS,3
2010/09/24,ETom,AnyConnect for WM  Report,4
2010/09/27,ETom,Meeting,2
2010/09/27,ETom,AnyConnect for WM  TS,2
2010/09/27,ETom,ACS 5.2 Prep,3.5
2010/09/28,ETom,Meeting,0.5
2010/09/28,ETom,AnyConnect for WM  TS,1
2010/09/28,ETom,ACS 5.2 Prep,7
2010/09/29,ETom,AnyConnect for WM  TS,3.5
2010/09/29,ETom,AnyConnect for WM  Report,5
2010/09/30,ETom,Meeting,1
2010/09/30,ETom,AnyConnect for WM  TS,2.5
2010/09/30,ETom,ACS 5.2 Prep,4.5
2010/10/01,ETom,AnyConnect3.0 Prep,7
2010/10/04,ETom,Meeting,1
2010/10/04,ETom,AnyConnect3.0 Prep,4
2010/10/04,ETom,ACS5.2 Setup,3
2010/10/05,ETom,AnyConnect3.0 Prep,6
2010/10/05,ETom,ACS5.2 Setup,2
2010/10/06,ETom,AnyConnect3.0 Prep,8.5
2010/10/07,ETom,Meeting,1
2010/10/07,ETom,AnyConnect3.0 Prep,7.5
2010/10/08,ETom,AnyConnect3.0 Prep,8
2010/10/12,ETom,Meeting,1
2010/10/12,ETom,AnyConnect3.0 Prep,7.5
2010/10/13,ETom,AnyConnect3.0 Prep,8.5
2010/10/14,ETom,Meeting,1
2010/10/14,ETom,AnyConnect3.0 Prep,7.5
2010/10/15,ETom,AnyConnect3.0 Prep,8.5
2010/10/18,ETom,Meeting,1
2010/10/18,ETom,AnyConnect3.0 Prep,4.5
2010/10/18,ETom,WCS MR1 Prep,2
2010/10/19,ETom,AnyConnect3.0 Prep,7.5
2010/10/20,ETom,AnyConnect3.0 Prep,8.5
2010/10/21,ETom,Meeting,1
2010/10/21,ETom,AnyConnect3.0 Prep,7.5
2010/10/22,ETom,AnyConnect3.0 Prep,8
2010/10/25,ETom,Meeting,1
2010/10/25,ETom,AnyConnect3.0 Prep,2.5
2010/10/25,ETom,WCS MR1 Prep,5
2010/10/26,ETom,AnyConnect3.0 Prep,1.5
2010/10/26,ETom,WCS MR1 Prep,2
2010/10/27,ETom,AnyConnect3.0 Prep,7
2010/10/27,ETom,WCS MR1 Prep,2
2010/10/28,ETom,Meeting,1
2010/10/28,ETom,AnyConnect3.0 Prep,4
2010/10/28,ETom,WCS MR1 Prep,3.5
2010/10/29,ETom,AnyConnect3.0 Prep,8
2010/11/01,ETom,Meeting,1
2010/11/01,ETom,AnyConnect3.0 Setup,7
2010/11/02,ETom,AnyConnect3.0 Setup,8
2010/11/04,ETom,Meeting,1
2010/11/04,ETom,AnyConnect3.0 Setup,7.5
2010/11/05,ETom,AnyConnect3.0 Setup,8
2010/11/08,ETom,Meeting,0.5
2010/11/08,ETom,AnyConnect3.0 GUI,7.5
2010/11/09,ETom,AnyConnect3.0 BAT,8
2010/11/10,ETom,AnyConnect3.0 BAT,8.5
2010/11/11,ETom,Meeting,1
2010/11/11,ETom,AnyConnect3.0 BAT,8
2010/11/12,ETom,AnyConnect3.0 Report,8
2010/11/15,ETom,Others,2
2010/11/15,ETom,AnyConnect3.0 Report,3.5
2010/11/15,ETom,WCS-MR17.0 Setup,3
2010/11/16,ETom,WCS-MR17.0 Setup,8.5
2010/11/17,ETom,Others,0.5
2010/11/17,ETom,WCS-MR17.0 Setup,4
2010/11/17,ETom,WCS-MR17.0 BAT,4.5
2010/11/18,ETom,Meeting,1
2010/11/18,ETom,WCS-MR17.0 BAT,7
2010/11/19,ETom,WCS-MR17.0 Report,8
2010/11/22,ETom,Meeting,1
2010/11/22,ETom,WCS-MR17.0 Report,7
2010/11/24,ETom,AnyConnect3.0 Prep,4.5
2010/11/24,ETom,ISE1.0 Prep,3.5
2010/11/25,ETom,Meeting,1
2010/11/25,ETom,Others,1
2010/11/25,ETom,AnyConnect3.0 Prep,6
2010/11/26,ETom,AnyConnect3.0 Prep,4.5
2010/11/26,ETom,ISE1.0 Prep,3.5
2010/11/29,ETom,Meeting,2
